Date,Open,High,Low,Close,Adj Close,Volume
"Mar 18, 2025",800.05,807.25,786.50,798.45,798.45,"51,976"
"Mar 17, 2025",775.40,801.60,775.40,795.00,795.00,"80,168"
"Mar 13, 2025",780.40,795.45,776.30,782.70,782.70,"201,432"
"Mar 12, 2025",765.30,785.00,743.95,782.00,782.00,"244,614"
"Mar 11, 2025",745.00,768.15,742.10,762.75,762.75,"133,329"
"Mar 10, 2025",747.95,790.05,738.30,758.95,758.95,"203,519"
"Mar 7, 2025",733.00,753.55,723.50,747.50,747.50,"113,765"
"Mar 6, 2025",722.95,745.95,706.80,732.35,732.35,"1,332,548"
"Mar 5, 2025",655.75,730.20,645.35,710.80,710.80,"216,769"
"Mar 4, 2025",648.70,660.50,644.00,646.25,646.25,"65,445"
"Mar 3, 2025",652.20,664.20,639.35,653.95,653.95,"276,403"
"Feb 28, 2025",660.05,673.75,648.00,651.05,651.05,"130,112"
"Feb 27, 2025",675.95,678.00,658.35,661.05,661.05,"122,775"
"Feb 25, 2025",666.40,686.90,665.40,670.00,670.00,"50,278"
"Feb 24, 2025",670.95,680.50,656.55,669.30,669.30,"34,371"
"Feb 21, 2025",681.05,696.00,666.85,669.60,669.60,"96,016"
"Feb 20, 2025",668.35,686.50,661.45,677.75,677.75,"126,115"
"Feb 19, 2025",668.95,681.75,660.00,670.80,670.80,"63,272"
"Feb 18, 2025",705.00,705.00,668.10,676.25,676.25,"212,826"
"Feb 17, 2025",700.05,709.00,677.40,702.10,702.10,"86,220"
"Feb 14, 2025",745.55,751.75,697.05,707.60,707.60,"186,466"
"Feb 13, 2025",742.05,777.70,740.30,742.65,742.65,"175,618"
"Feb 12, 2025",733.05,760.00,728.05,757.15,757.15,"304,805"
"Feb 11, 2025",741.70,763.00,725.95,732.20,732.20,"83,719"
"Feb 10, 2025",775.00,777.85,738.25,740.60,740.60,"129,188"
"Feb 7, 2025",772.50,782.35,759.65,773.95,773.95,"34,446"
"Feb 6, 2025",780.00,788.00,767.60,772.35,772.35,"138,964"
"Feb 5, 2025",760.00,782.60,751.60,775.50,775.50,"81,215"
"Feb 4, 2025",730.10,754.40,730.10,751.60,751.60,"130,295"
"Feb 3, 2025",735.80,742.45,726.15,728.70,728.70,"45,412"
"Feb 1, 2025",759.85,769.20,731.65,745.95,745.95,"178,194"
"Jan 31, 2025",753.65,763.10,737.85,753.10,753.10,"94,622"
"Jan 30, 2025",750.00,760.15,727.65,739.85,739.85,"153,331"
"Jan 29, 2025",750.05,759.00,738.30,745.15,745.15,"87,980"
"Jan 28, 2025",756.65,769.00,735.35,747.55,747.55,"218,526"
"Jan 27, 2025",780.60,781.25,751.00,756.65,756.65,"83,004"
"Jan 24, 2025",815.00,815.00,781.05,789.95,789.95,"328,311"
"Jan 23, 2025",799.85,826.30,791.85,810.75,810.75,"277,799"
"Jan 22, 2025",825.85,826.00,780.20,801.15,801.15,"260,517"
"Jan 21, 2025",819.95,826.00,803.20,813.35,813.35,"165,730"
"Jan 20, 2025",817.60,828.15,801.20,815.65,815.65,"183,850"
"Jan 17, 2025",798.30,808.50,786.35,805.65,805.65,"103,143"
"Jan 16, 2025",811.55,832.00,786.75,792.25,792.25,"255,308"
"Jan 15, 2025",783.95,800.55,773.25,780.20,780.20,"295,252"
"Jan 14, 2025",701.15,787.50,700.00,771.50,771.50,"386,785"
"Jan 13, 2025",720.00,724.20,682.05,688.45,688.45,"223,412"
"Jan 10, 2025",752.55,753.05,726.65,729.65,729.65,"192,849"
"Jan 9, 2025",771.05,775.45,750.00,751.50,751.50,"144,233"
"Jan 8, 2025",780.45,785.30,761.75,770.25,770.25,"42,419"
"Jan 7, 2025",780.15,791.85,774.95,780.85,780.85,"165,874"
"Jan 6, 2025",817.95,818.00,765.25,769.25,769.25,"138,622"
"Jan 3, 2025",809.10,830.90,809.10,819.85,819.85,"114,067"
"Jan 2, 2025",809.95,811.75,793.75,808.50,808.50,"45,565"
"Jan 1, 2025",808.40,820.00,801.30,805.25,805.25,"128,702"
"Dec 31, 2024",815.25,820.00,800.20,806.40,806.40,"65,611"
"Dec 30, 2024",806.35,830.80,805.00,826.10,826.10,"262,079"
"Dec 27, 2024",799.00,814.85,791.70,806.30,806.30,"66,873"
"Dec 26, 2024",777.35,800.85,770.00,791.85,791.85,"88,927"
"Dec 24, 2024",775.00,789.45,766.10,771.25,771.25,"116,599"
"Dec 23, 2024",779.05,784.00,765.10,773.65,773.65,"168,844"
"Dec 20, 2024",796.45,812.25,762.25,767.75,767.75,"176,631"
"Dec 19, 2024",777.65,799.50,770.45,796.05,796.05,"37,156"
"Dec 18, 2024",814.05,819.50,790.50,793.55,793.55,"118,372"
"Dec 17, 2024",808.45,825.95,806.00,813.55,813.55,"61,957"
"Dec 16, 2024",830.85,830.85,809.00,811.10,811.10,"67,590"
"Dec 13, 2024",820.00,837.60,807.90,831.65,831.65,"88,061"
"Dec 12, 2024",788.10,832.45,784.00,817.35,817.35,"536,160"
"Dec 11, 2024",784.55,797.00,773.05,792.35,792.35,"54,591"
"Dec 10, 2024",803.50,806.00,775.05,784.45,784.45,"183,442"
"Dec 9, 2024",809.00,813.70,796.40,803.45,803.45,"56,299"
"Dec 6, 2024",826.95,830.15,806.00,807.95,807.95,"84,702"
"Dec 5, 2024",826.75,829.00,806.00,822.50,822.50,"320,735"
"Dec 4, 2024",812.00,828.00,796.65,816.20,816.20,"159,009"
"Dec 3, 2024",808.00,828.90,797.60,801.80,801.80,"168,843"
"Dec 2, 2024",847.00,855.00,801.30,806.60,806.60,"806,769"
"Nov 29, 2024",756.85,869.40,745.00,840.55,840.55,"2,435,842"
"Nov 28, 2024",694.00,727.35,687.20,727.35,727.35,"1,489,501"
"Nov 27, 2024",601.95,661.25,588.25,661.25,661.25,"982,647"
"Nov 26, 2024",637.35,637.35,593.15,601.15,601.15,"339,724"
"Nov 25, 2024",674.00,694.15,619.25,624.85,624.85,"1,162,630"
"Nov 22, 2024",650.10,695.50,628.00,649.40,649.40,"1,692,963"
"Nov 21, 2024",697.70,719.40,697.70,697.70,697.70,"1,398,078"
"Nov 19, 2024",867.00,887.00,865.05,872.10,872.10,"72,161"
"Nov 18, 2024",893.30,893.30,858.00,865.70,865.70,"74,256"
"Nov 14, 2024",903.35,906.30,875.60,877.40,877.40,"105,689"
"Nov 13, 2024",922.45,937.10,885.30,889.80,889.80,"93,467"
"Nov 12, 2024",908.40,937.45,901.90,923.40,923.40,"261,255"
"Nov 11, 2024",935.95,938.00,898.00,902.10,902.10,"192,046"
"Nov 8, 2024",966.85,973.60,934.00,935.75,935.75,"132,655"
"Nov 7, 2024","1,014.95","1,014.95",956.20,963.80,963.80,"495,019"
"Nov 6, 2024","1,019.75","1,090.65","1,009.75","1,075.30","1,075.30","211,375"
"Nov 4, 2024",983.95,983.95,961.65,965.40,965.40,"30,592"
"Nov 1, 2024",989.95,989.95,970.15,976.55,976.55,"18,007"
"Oct 31, 2024",945.85,979.85,945.85,975.70,975.70,"138,046"
"Oct 29, 2024",949.00,949.15,917.55,930.45,930.45,"60,539"
"Oct 28, 2024",920.20,961.75,891.10,938.25,938.25,"200,378"
"Oct 25, 2024",975.00,976.15,913.10,920.15,920.15,"71,924"
"Oct 24, 2024",981.90,988.40,968.75,975.70,975.70,"123,446"
"Oct 23, 2024","1,009.95","1,009.95",965.75,981.90,981.90,"247,429"
"Oct 22, 2024","1,011.05","1,043.60",988.00,"1,012.55","1,012.55","156,705"
"Oct 21, 2024","1,042.05","1,048.20","1,007.55","1,017.45","1,017.45","83,064"
"Oct 18, 2024","1,020.55","1,048.30","1,005.00","1,044.80","1,044.80","69,440"
"Oct 17, 2024","1,031.95","1,036.25","1,013.20","1,020.60","1,020.60","102,408"
"Oct 16, 2024","1,009.00","1,038.30","1,004.25","1,033.15","1,033.15","108,684"
"Oct 15, 2024",982.40,"1,010.00",974.50,"1,004.15","1,004.15","47,937"
"Oct 14, 2024",993.40,"1,014.95",977.20,980.75,980.75,"152,126"
"Oct 11, 2024",997.00,999.00,975.00,977.00,977.00,"85,558"
"Oct 10, 2024",992.05,"1,000.35",964.00,992.95,992.95,"70,351"
"Oct 9, 2024","1,016.00","1,016.00",980.00,982.50,982.50,"132,154"
"Oct 8, 2024",934.95,"1,009.95",915.95,"1,007.45","1,007.45","182,895"
"Oct 7, 2024",977.95,982.40,921.00,932.90,932.90,"327,457"
"Oct 4, 2024","1,015.00","1,021.05",956.00,963.45,963.45,"366,682"
"Oct 3, 2024","1,020.75","1,039.00","1,010.30","1,016.20","1,016.20","152,168"
"Oct 1, 2024","1,010.05","1,053.00","1,009.65","1,040.75","1,040.75","282,299"
"Sep 30, 2024","1,018.75","1,018.75",994.00,"1,009.65","1,009.65","109,641"
"Sep 27, 2024","1,040.60","1,055.85","1,002.75","1,013.50","1,013.50","69,927"
"Sep 26, 2024","1,040.15","1,048.80","1,033.15","1,036.45","1,036.45","86,366"
"Sep 25, 2024","1,051.75","1,053.35","1,036.90","1,045.45","1,045.45","42,964"
